epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5377.47,0.85608,0.74741,0.96615,0.69078,0.61647,0.631,0.43027,1.1457,1.37243,1.171,0.000724518,0.000724518,0.000724518
43,5503.28,0.839,0.74626,0.96705,0.69226,0.56954,0.61094,0.40942,1.10829,1.34531,1.1311,0.000720019,0.000720019,0.000720019
44,5630.69,0.84595,0.74509,0.96461,0.66556,0.61492,0.63173,0.42167,1.13077,1.35443,1.16325,0.000715519,0.000715519,0.000715519
45,5757.61,0.85368,0.74593,0.96714,0.62338,0.59089,0.62535,0.40878,1.1505,1.30966,1.17754,0.00071102,0.00071102,0.00071102
46,5885.99,0.85154,0.73557,0.96238,0.5641,0.62537,0.64774,0.43009,1.13676,1.24346,1.14678,0.00070652,0.00070652,0.00070652
47,6012.73,0.82055,0.70197,0.95491,0.68762,0.67823,0.67862,0.4563,1.08943,1.21092,1.13466,0.000702021,0.000702021,0.000702021
48,6140.04,0.82088,0.69898,0.94954,0.71205,0.59168,0.64464,0.43816,1.11888,1.27084,1.13875,0.000697521,0.000697521,0.000697521
49,6264.87,0.83892,0.71078,0.95519,0.6124,0.61192,0.62517,0.41814,1.12231,1.20019,1.15673,0.000693022,0.000693022,0.000693022
50,6392.05,0.82363,0.71794,0.95933,0.6464,0.55289,0.62152,0.43446,1.09582,1.19487,1.15074,0.000688522,0.000688522,0.000688522
51,6518.2,0.80843,0.69309,0.94846,0.69434,0.6014,0.65691,0.46355,1.07429,1.22332,1.12283,0.000684022,0.000684022,0.000684022
52,6645.67,0.81028,0.68005,0.94444,0.66062,0.57049,0.63838,0.43766,1.12967,1.19146,1.16348,0.000679523,0.000679523,0.000679523
53,6772.35,0.81935,0.70491,0.95654,0.66036,0.58424,0.62885,0.42941,1.13196,1.21176,1.16087,0.000675023,0.000675023,0.000675023
54,6899.14,0.80864,0.69436,0.94646,0.71639,0.57715,0.64273,0.45338,1.09262,1.18086,1.13975,0.000670524,0.000670524,0.000670524
55,7026.8,0.81109,0.67505,0.94647,0.67114,0.56613,0.64047,0.44981,1.05719,1.19767,1.11536,0.000666024,0.000666024,0.000666024
56,7153.18,0.79066,0.66623,0.94619,0.71245,0.63887,0.68481,0.46926,1.09369,1.04143,1.14091,0.000661525,0.000661525,0.000661525
57,7279.11,0.81056,0.67259,0.94401,0.66996,0.67159,0.67929,0.46951,1.05501,1.0543,1.13443,0.000657025,0.000657025,0.000657025
58,7406.56,0.80517,0.66158,0.94414,0.64697,0.60932,0.64658,0.45945,1.04482,1.17542,1.1214,0.000652526,0.000652526,0.000652526
59,7532.53,0.77927,0.64357,0.93743,0.76917,0.59231,0.66057,0.46713,1.04763,1.07291,1.12613,0.000648026,0.000648026,0.000648026
60,7659.72,0.78154,0.64351,0.94073,0.71369,0.55792,0.63457,0.44188,1.08259,1.13788,1.1268,0.000643527,0.000643527,0.000643527
61,7785.35,0.78675,0.6576,0.94197,0.69012,0.64116,0.66988,0.46022,1.05902,1.16495,1.12098,0.000639027,0.000639027,0.000639027
62,7912.91,0.77812,0.64381,0.93429,0.70431,0.60616,0.64662,0.43158,1.07975,1.2136,1.12433,0.000634527,0.000634527,0.000634527
63,8039.43,0.77481,0.64351,0.93446,0.79693,0.57396,0.66147,0.44733,1.11019,1.11222,1.16163,0.000630028,0.000630028,0.000630028
64,8166.72,0.78289,0.64264,0.93409,0.83113,0.64018,0.71515,0.47009,1.08221,1.05569,1.15137,0.000625528,0.000625528,0.000625528
65,8292.34,0.77552,0.64182,0.93222,0.71127,0.66355,0.68325,0.4622,1.05713,1.08291,1.13057,0.000621029,0.000621029,0.000621029
66,8417.84,0.76607,0.62691,0.93208,0.72441,0.62955,0.6686,0.45895,1.07315,1.12399,1.13102,0.000616529,0.000616529,0.000616529
67,8543.82,0.76078,0.62749,0.92987,0.62833,0.6731,0.67505,0.45616,1.07129,1.13802,1.13067,0.00061203,0.00061203,0.00061203
