epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.351,1.5525,3.90624,1.35984,0.01824,0.24171,0.08511,0.04419,1.51347,3.97669,1.2774,0.00025452,0.00025452,0.00025452
2,260.068,1.36416,3.04667,1.21338,0.0318,0.43898,0.21088,0.12925,1.44084,3.55558,1.26655,0.000513001,0.000513001,0.000513001
3,384.329,1.34612,2.26799,1.19865,0.68003,0.19544,0.26596,0.15513,1.56402,2.92712,1.36196,0.000766262,0.000766262,0.000766262
4,506.725,1.32804,1.85172,1.20308,0.63591,0.36711,0.3538,0.22341,1.52795,2.34582,1.35511,0.000882003,0.000882003,0.000882003
5,629.479,1.27231,1.67245,1.17565,0.58848,0.41356,0.39752,0.23618,1.46008,1.94412,1.35151,0.000873004,0.000873004,0.000873004
6,753.534,1.21863,1.5026,1.14831,0.49461,0.47026,0.43551,0.28887,1.34754,1.78155,1.27594,0.000864004,0.000864004,0.000864004
7,877.149,1.18562,1.40753,1.12252,0.73452,0.41743,0.46917,0.30225,1.37247,1.78058,1.32249,0.000855005,0.000855005,0.000855005
8,1000.34,1.16578,1.35861,1.11992,0.63924,0.51451,0.53045,0.33382,1.34707,1.52606,1.27826,0.000846006,0.000846006,0.000846006
9,1123.15,1.11418,1.29144,1.09932,0.76513,0.42833,0.50859,0.33527,1.29555,1.50405,1.26312,0.000837007,0.000837007,0.000837007
10,1246.74,1.08517,1.19457,1.08018,0.62262,0.45422,0.46875,0.29366,1.41869,1.86612,1.3669,0.000828008,0.000828008,0.000828008
11,1370.71,1.0757,1.18468,1.07232,0.49905,0.51225,0.47882,0.31279,1.31811,1.67296,1.27499,0.000819009,0.000819009,0.000819009
12,1494.2,1.07115,1.18238,1.07598,0.61877,0.47897,0.51397,0.34083,1.28498,1.70506,1.2551,0.00081001,0.00081001,0.00081001
