epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68571,1.58479,3.79788,1.39189,0.01402,0.24246,0.08724,0.04653,1.39236,3.79346,1.2694,0.00025452,0.00025452,0.00025452
2,8.41314,1.40088,2.44336,1.22298,0.68899,0.20562,0.27595,0.16746,1.48374,2.85631,1.34806,0.000513001,0.000513001,0.000513001
3,11.4088,1.2884,1.87642,1.19635,0.59164,0.31191,0.2868,0.17901,1.54535,2.54703,1.40277,0.000766262,0.000766262,0.000766262
4,14.1615,1.26576,1.64337,1.17636,0.55484,0.40115,0.38309,0.22383,1.4776,2.11063,1.35411,0.000882003,0.000882003,0.000882003
5,17.0992,1.2086,1.49688,1.15213,0.65486,0.4233,0.42798,0.26558,1.46606,1.90918,1.37363,0.000873004,0.000873004,0.000873004
6,19.9637,1.17054,1.39886,1.12212,0.6514,0.43511,0.4494,0.27431,1.39781,1.82391,1.32862,0.000864004,0.000864004,0.000864004
7,22.9514,1.13355,1.32437,1.10802,0.72172,0.41335,0.44539,0.28294,1.34288,1.66257,1.29754,0.000855005,0.000855005,0.000855005
8,25.9384,1.10936,1.25157,1.09209,0.64057,0.48705,0.52008,0.34871,1.27816,1.62311,1.27428,0.000846006,0.000846006,0.000846006
9,28.9829,1.08228,1.20945,1.08569,0.60101,0.4898,0.51237,0.33562,1.31147,1.4398,1.27675,0.000837007,0.000837007,0.000837007
10,32.039,1.0712,1.16173,1.06488,0.67333,0.44463,0.5238,0.35545,1.30987,1.59693,1.29387,0.000828008,0.000828008,0.000828008
11,34.602,1.03727,1.10752,1.06146,0.68762,0.47197,0.55978,0.3725,1.31005,1.45575,1.25757,0.000819009,0.000819009,0.000819009
12,37.7177,1.02574,1.09473,1.05062,0.62397,0.54481,0.54451,0.35011,1.31359,1.54529,1.27682,0.00081001,0.00081001,0.00081001
13,40.6783,1.04006,1.09702,1.06017,0.68406,0.49592,0.58126,0.38573,1.21904,1.37199,1.21159,0.000801011,0.000801011,0.000801011
14,43.6573,0.98767,1.03102,1.04168,0.81755,0.47672,0.59398,0.39194,1.21331,1.32499,1.23274,0.000792012,0.000792012,0.000792012
15,46.8441,0.97341,1.00054,1.02739,0.58799,0.62427,0.6036,0.39889,1.22936,1.22542,1.22123,0.000783013,0.000783013,0.000783013
16,49.6997,0.98901,1.013,1.03724,0.63635,0.49438,0.53254,0.34773,1.24112,1.66491,1.25475,0.000774013,0.000774013,0.000774013
17,52.4355,0.98195,0.99206,1.02851,0.68418,0.53536,0.59586,0.40671,1.18553,1.34518,1.20488,0.000765014,0.000765014,0.000765014
18,55.272,0.97183,0.96727,1.02113,0.69382,0.53198,0.58379,0.40744,1.16466,1.24197,1.1766,0.000756015,0.000756015,0.000756015
19,58.2721,0.9488,0.93479,1.01507,0.65011,0.53944,0.59142,0.38771,1.19506,1.31772,1.20481,0.000747016,0.000747016,0.000747016
20,61.3446,0.94086,0.93577,1.01332,0.61718,0.50719,0.5201,0.35032,1.23108,1.55706,1.24342,0.000738017,0.000738017,0.000738017
21,64.2564,0.95433,0.92919,1.01127,0.61609,0.53533,0.55208,0.37922,1.1606,1.27192,1.20914,0.000729018,0.000729018,0.000729018
22,67.19,0.90848,0.88328,1.00179,0.70256,0.49119,0.59172,0.41302,1.15568,1.2312,1.19359,0.000720019,0.000720019,0.000720019
23,70.3321,0.91048,0.86458,0.99359,0.65699,0.56694,0.61104,0.42288,1.14973,1.18426,1.18051,0.00071102,0.00071102,0.00071102
24,73.3912,0.91423,0.8688,1.00068,0.66002,0.53679,0.58636,0.40638,1.15692,1.37949,1.16878,0.000702021,0.000702021,0.000702021
25,76.1841,0.88401,0.83345,0.98571,0.84039,0.51974,0.6054,0.39429,1.23729,1.28957,1.22388,0.000693022,0.000693022,0.000693022
26,78.7611,0.87844,0.83453,0.9852,0.75165,0.50534,0.58138,0.39936,1.13198,1.27256,1.16664,0.000684022,0.000684022,0.000684022
27,81.774,0.89755,0.83258,0.98914,0.64633,0.62217,0.62361,0.41277,1.14513,1.24296,1.18197,0.000675023,0.000675023,0.000675023
28,84.797,0.87793,0.80855,0.97686,0.79287,0.56376,0.65896,0.44109,1.14656,1.18305,1.17879,0.000666024,0.000666024,0.000666024
29,87.8762,0.89563,0.82869,0.98386,0.69447,0.52642,0.60633,0.41329,1.16446,1.28136,1.21045,0.000657025,0.000657025,0.000657025
30,91.0233,0.87357,0.78363,0.97478,0.69988,0.54575,0.60988,0.40431,1.17351,1.32766,1.19591,0.000648026,0.000648026,0.000648026
