epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,229.673,0.81897,0.74046,0.98862,0.76953,0.60239,0.68417,0.47304,1.05435,1.02887,1.17305,0.000540037,0.000540037,0.000540037
43,235.021,0.80163,0.70302,0.98196,0.76723,0.64715,0.70747,0.49862,1.04539,0.98213,1.15426,0.000531038,0.000531038,0.000531038
44,240.497,0.80193,0.70131,0.97648,0.68853,0.63714,0.66184,0.46889,1.0528,1.13145,1.16687,0.000522039,0.000522039,0.000522039
45,245.794,0.80216,0.6962,0.97494,0.71774,0.66936,0.65779,0.4614,1.07183,1.04523,1.18539,0.00051304,0.00051304,0.00051304
46,251.146,0.803,0.68028,0.97159,0.74819,0.63399,0.66093,0.47194,1.07232,1.06846,1.18711,0.00050404,0.00050404,0.00050404
47,256.628,0.77595,0.66483,0.96953,0.70389,0.64665,0.67918,0.47388,1.07845,1.0071,1.18952,0.000495041,0.000495041,0.000495041
48,262.005,0.78683,0.66044,0.96114,0.6827,0.67612,0.67185,0.46699,1.05044,0.96823,1.18976,0.000486042,0.000486042,0.000486042
49,267.275,0.77484,0.66715,0.96686,0.72887,0.63973,0.67958,0.48893,1.04925,1.0627,1.17082,0.000477043,0.000477043,0.000477043
50,272.344,0.78525,0.6844,0.97064,0.70537,0.64555,0.6582,0.46694,1.06974,1.00617,1.19681,0.000468044,0.000468044,0.000468044
51,277.602,0.77731,0.66113,0.96367,0.75863,0.60704,0.66967,0.47182,1.06729,1.02392,1.1937,0.000459045,0.000459045,0.000459045
52,282.847,0.79293,0.6555,0.96229,0.72401,0.64063,0.68137,0.48483,1.06797,1.00977,1.20673,0.000450046,0.000450046,0.000450046
53,288.11,0.78627,0.65342,0.96188,0.76662,0.57389,0.68101,0.48459,1.04571,0.98711,1.17091,0.000441047,0.000441047,0.000441047
54,293.51,0.77121,0.64488,0.9584,0.73422,0.64273,0.69273,0.49198,1.05487,0.98888,1.16574,0.000432048,0.000432048,0.000432048
55,298.8,0.76762,0.6448,0.96076,0.72963,0.64987,0.68373,0.4942,1.03812,0.96237,1.15971,0.000423049,0.000423049,0.000423049
56,304.169,0.77649,0.63756,0.95445,0.70716,0.67209,0.70283,0.51243,1.024,0.94176,1.14961,0.000414049,0.000414049,0.000414049
57,309.466,0.77084,0.64658,0.96206,0.66167,0.64786,0.68867,0.49932,1.01633,1.02863,1.16,0.00040505,0.00040505,0.00040505
58,314.924,0.75494,0.63229,0.9602,0.74689,0.63801,0.69172,0.5011,1.02934,0.95782,1.16701,0.000396051,0.000396051,0.000396051
59,320.227,0.75197,0.61574,0.94979,0.74084,0.67419,0.69693,0.50585,1.00234,0.93993,1.15841,0.000387052,0.000387052,0.000387052
60,325.547,0.75205,0.6131,0.95044,0.70942,0.65198,0.67995,0.47792,1.04917,0.97244,1.19108,0.000378053,0.000378053,0.000378053
61,330.9,0.74291,0.59905,0.94812,0.71226,0.67473,0.70839,0.49322,1.06396,0.96109,1.19924,0.000369054,0.000369054,0.000369054
