epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4211,1.59618,3.91907,1.38062,0.01613,0.24928,0.08103,0.03472,1.53374,3.88948,1.30488,0.00025452,0.00025452,0.00025452
2,17.7423,1.39826,3.05235,1.20821,0.0289,0.43642,0.19596,0.10075,1.44152,3.52167,1.2787,0.000513001,0.000513001,0.000513001
3,21.0142,1.34108,2.27593,1.20429,0.72774,0.08749,0.2393,0.14173,1.52952,3.15197,1.38251,0.000766262,0.000766262,0.000766262
4,24.419,1.32073,1.87818,1.19041,0.72737,0.32398,0.35514,0.21457,1.51213,2.44584,1.39837,0.000882003,0.000882003,0.000882003
5,27.7416,1.25068,1.6357,1.164,0.516,0.361,0.40472,0.25496,1.41432,1.99229,1.34179,0.000873004,0.000873004,0.000873004
6,30.9412,1.19639,1.48788,1.13501,0.59811,0.38978,0.38714,0.24543,1.41715,1.83874,1.39378,0.000864004,0.000864004,0.000864004
7,34.3869,1.16838,1.40322,1.1257,0.73552,0.44435,0.46191,0.28801,1.33298,1.62085,1.30424,0.000855005,0.000855005,0.000855005
8,37.7195,1.12908,1.31081,1.10064,0.7484,0.44999,0.50856,0.33259,1.31853,1.50814,1.29915,0.000846006,0.000846006,0.000846006
9,40.9924,1.10531,1.26217,1.09266,0.7476,0.45972,0.52068,0.33821,1.28084,1.46474,1.24937,0.000837007,0.000837007,0.000837007
10,44.2662,1.08916,1.21642,1.07136,0.69257,0.45212,0.46688,0.3054,1.29276,1.50751,1.27706,0.000828008,0.000828008,0.000828008
11,47.369,1.06067,1.16899,1.06703,0.72539,0.46521,0.52889,0.33811,1.30719,1.45391,1.26263,0.000819009,0.000819009,0.000819009
12,50.5449,1.05187,1.15237,1.06578,0.68418,0.50408,0.53226,0.35897,1.23369,1.42834,1.21273,0.00081001,0.00081001,0.00081001
13,53.9573,1.05182,1.1371,1.06486,0.60537,0.45971,0.48852,0.31838,1.30822,1.61754,1.25949,0.000801011,0.000801011,0.000801011
14,57.0987,1.02357,1.06911,1.05582,0.56632,0.55689,0.54378,0.35389,1.25388,1.37501,1.2706,0.000792012,0.000792012,0.000792012
15,60.4342,0.98993,1.02728,1.03196,0.6275,0.54797,0.57405,0.37619,1.21599,1.26785,1.19694,0.000783013,0.000783013,0.000783013
16,63.7477,1.0063,1.05395,1.0452,0.60863,0.52881,0.58798,0.39141,1.19976,1.3593,1.22393,0.000774013,0.000774013,0.000774013
17,66.9261,1.00343,1.03264,1.03326,0.71708,0.562,0.63495,0.41776,1.19364,1.22426,1.20961,0.000765014,0.000765014,0.000765014
18,70.3698,0.98283,0.99656,1.02694,0.63453,0.50938,0.56446,0.37945,1.2137,1.26434,1.21743,0.000756015,0.000756015,0.000756015
19,73.6766,0.95752,0.96564,1.01977,0.62143,0.55382,0.57921,0.38165,1.17526,1.31953,1.17987,0.000747016,0.000747016,0.000747016
20,77.118,0.96163,0.97564,1.0172,0.60711,0.51774,0.5594,0.3706,1.19214,1.38499,1.17775,0.000738017,0.000738017,0.000738017
21,80.4658,0.95852,0.95581,1.01387,0.62669,0.53859,0.58567,0.40717,1.15048,1.28831,1.18152,0.000729018,0.000729018,0.000729018
22,83.7616,0.91597,0.91998,1.00308,0.70887,0.53344,0.59978,0.39298,1.19183,1.34046,1.20977,0.000720019,0.000720019,0.000720019
23,87.1357,0.92715,0.8935,0.9985,0.7002,0.59226,0.63107,0.40896,1.16312,1.20533,1.19546,0.00071102,0.00071102,0.00071102
24,90.4409,0.93072,0.89677,1.00495,0.55808,0.59384,0.59566,0.39048,1.181,1.30596,1.16516,0.000702021,0.000702021,0.000702021
25,93.8165,0.90029,0.85988,0.98987,0.67222,0.55282,0.60318,0.42191,1.12918,1.20563,1.14997,0.000693022,0.000693022,0.000693022
26,97.1571,0.89254,0.85185,0.98945,0.63763,0.55072,0.60731,0.40612,1.16233,1.22981,1.17495,0.000684022,0.000684022,0.000684022
27,100.436,0.91096,0.85779,0.9932,0.64854,0.59826,0.66288,0.44898,1.10948,1.13566,1.15124,0.000675023,0.000675023,0.000675023
28,103.904,0.8962,0.83353,0.98411,0.6689,0.52194,0.61095,0.40211,1.15922,1.20247,1.18257,0.000666024,0.000666024,0.000666024
29,107.181,0.91481,0.86065,0.99415,0.67769,0.52642,0.6046,0.40084,1.18113,1.21916,1.17289,0.000657025,0.000657025,0.000657025
30,110.199,0.88258,0.81422,0.97812,0.68296,0.60762,0.646,0.43641,1.12946,1.12176,1.14843,0.000648026,0.000648026,0.000648026
31,113.374,0.86671,0.79866,0.97251,0.61974,0.55857,0.60037,0.39652,1.17117,1.27271,1.18178,0.000639027,0.000639027,0.000639027
32,116.644,0.8723,0.80349,0.97501,0.73054,0.59987,0.64782,0.42241,1.15799,1.16857,1.19921,0.000630028,0.000630028,0.000630028
33,119.785,0.87644,0.80825,0.97442,0.70601,0.58085,0.64048,0.41946,1.15284,1.18017,1.16835,0.000621029,0.000621029,0.000621029
