epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,166.65,0.97335,0.92085,0.97097,0.74621,0.54331,0.63092,0.44023,1.23384,1.30947,1.15141,0.000540037,0.000540037,0.000540037
43,170.383,0.96134,0.89187,0.96665,0.73203,0.53047,0.61814,0.42497,1.2632,1.3449,1.15882,0.000531038,0.000531038,0.000531038
44,174.157,0.97498,0.88688,0.96714,0.59844,0.55662,0.60673,0.42017,1.25069,1.40187,1.14839,0.000522039,0.000522039,0.000522039
45,177.789,0.98166,0.88634,0.96089,0.65901,0.558,0.60465,0.41531,1.24408,1.36238,1.15812,0.00051304,0.00051304,0.00051304
46,181.416,0.9749,0.87133,0.96011,0.66519,0.6066,0.60788,0.43382,1.1826,1.36801,1.13201,0.00050404,0.00050404,0.00050404
47,184.973,0.92229,0.83028,0.9534,0.60865,0.58502,0.60664,0.42177,1.24461,1.47558,1.13522,0.000495041,0.000495041,0.000495041
48,188.647,0.94322,0.84712,0.94902,0.60499,0.65709,0.64415,0.45747,1.25443,1.20586,1.17778,0.000486042,0.000486042,0.000486042
49,192.263,0.92186,0.82952,0.95211,0.60244,0.57498,0.5974,0.42807,1.19619,1.32433,1.13703,0.000477043,0.000477043,0.000477043
50,195.936,0.93993,0.84009,0.95355,0.71552,0.59848,0.66618,0.47024,1.21891,1.21894,1.14737,0.000468044,0.000468044,0.000468044
51,199.592,0.92982,0.82927,0.94608,0.65298,0.61497,0.64703,0.44607,1.23853,1.29494,1.15852,0.000459045,0.000459045,0.000459045
52,203.214,0.95379,0.83006,0.94804,0.67221,0.62467,0.66248,0.46995,1.18784,1.30061,1.12872,0.000450046,0.000450046,0.000450046
53,206.774,0.94286,0.82411,0.94842,0.71154,0.62162,0.65963,0.46206,1.19039,1.20965,1.14797,0.000441047,0.000441047,0.000441047
54,210.356,0.92664,0.79386,0.94295,0.67008,0.64417,0.63664,0.45114,1.19824,1.25991,1.14465,0.000432048,0.000432048,0.000432048
55,214.153,0.92757,0.79849,0.9447,0.70829,0.54102,0.63765,0.43822,1.24114,1.24304,1.1616,0.000423049,0.000423049,0.000423049
56,217.994,0.94972,0.78372,0.94171,0.7414,0.53054,0.61546,0.42854,1.22024,1.37042,1.15924,0.000414049,0.000414049,0.000414049
57,221.611,0.9154,0.7881,0.94474,0.65532,0.58446,0.60769,0.42651,1.23267,1.43108,1.14846,0.00040505,0.00040505,0.00040505
58,225.143,0.91398,0.77577,0.94284,0.71622,0.5401,0.6446,0.46555,1.20109,1.31635,1.13725,0.000396051,0.000396051,0.000396051
59,228.849,0.89706,0.75395,0.93365,0.70027,0.59964,0.64714,0.45604,1.21002,1.26349,1.14145,0.000387052,0.000387052,0.000387052
60,232.642,0.89611,0.75123,0.93649,0.61634,0.60943,0.62121,0.4347,1.21284,1.22266,1.17368,0.000378053,0.000378053,0.000378053
61,236.451,0.88356,0.73738,0.93135,0.72345,0.59083,0.63164,0.44503,1.19116,1.17128,1.14405,0.000369054,0.000369054,0.000369054
62,240.178,0.88903,0.72288,0.92903,0.68394,0.58413,0.61524,0.4339,1.1837,1.27449,1.14796,0.000360055,0.000360055,0.000360055
