epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8085,1.59999,3.35718,3.94907,1.38164,0,0.01351,0.24877,0.08126,0.04175,0.01115,0.21372,0.07817,0.03067,1.50668,3.30442,3.87098,1.27432,0,0.00025452,0.00025452,0.00025452
2,22.1506,1.39015,2.65592,3.13157,1.18966,0,0.02346,0.37726,0.12646,0.0781,0.01992,0.31673,0.12475,0.05903,1.42595,2.79327,3.69519,1.25274,0,0.000513001,0.000513001,0.000513001
3,26.4217,1.34782,2.39172,2.32102,1.18903,0,0.87826,0.08741,0.20319,0.11299,0.8639,0.08017,0.17561,0.08816,1.49409,2.93964,3.35975,1.39079,0,0.000766262,0.000766262,0.000766262
4,30.4463,1.32624,2.31524,1.87791,1.1801,0,0.63017,0.28849,0.32984,0.18781,0.60799,0.25099,0.30069,0.15248,1.58555,2.79626,2.64139,1.39478,0,0.000882003,0.000882003,0.000882003
5,34.5578,1.27872,2.24413,1.64429,1.16608,0,0.69658,0.37068,0.41228,0.24826,0.61619,0.32201,0.32216,0.17692,1.57875,2.70804,2.04195,1.41061,0,0.000873004,0.000873004,0.000873004
6,38.7177,1.22422,2.14391,1.47419,1.12944,0,0.51879,0.44016,0.44915,0.29123,0.50763,0.4045,0.41508,0.22916,1.41444,2.49732,1.76576,1.29848,0,0.000864004,0.000864004,0.000864004
7,42.8022,1.18185,2.10443,1.37815,1.11643,0,0.72882,0.36159,0.42748,0.27456,0.69388,0.34083,0.38964,0.21413,1.41318,2.39366,1.94173,1.33977,0,0.000855005,0.000855005,0.000855005
8,46.7406,1.1365,2.02122,1.30076,1.09122,0,0.5532,0.49225,0.53061,0.32764,0.543,0.48074,0.5088,0.26736,1.3745,2.36419,1.55772,1.29607,0,0.000846006,0.000846006,0.000846006
9,50.6854,1.12157,1.94587,1.27456,1.08809,0,0.68358,0.4524,0.49117,0.31204,0.73817,0.40285,0.47249,0.25946,1.34744,2.17814,1.52823,1.24739,0,0.000837007,0.000837007,0.000837007
10,54.7415,1.12262,1.96024,1.22452,1.06974,0,0.68384,0.50937,0.54967,0.35227,0.6598,0.48955,0.51021,0.28411,1.3684,2.28728,1.47321,1.2841,0,0.000828008,0.000828008,0.000828008
11,58.7159,1.08859,1.90018,1.1757,1.06748,0,0.54635,0.49953,0.53552,0.348,0.55077,0.48979,0.51576,0.28451,1.30704,2.34808,1.53313,1.26584,0,0.000819009,0.000819009,0.000819009
12,62.8673,1.071,1.84901,1.15524,1.058,0,0.57742,0.54301,0.5323,0.34817,0.60739,0.55635,0.52417,0.27114,1.35188,2.30328,1.53061,1.26238,0,0.00081001,0.00081001,0.00081001
13,67.0484,1.08067,1.84757,1.15343,1.06211,0,0.65168,0.51477,0.54132,0.35253,0.63539,0.50444,0.51732,0.26553,1.31392,2.25857,1.47678,1.28423,0,0.000801011,0.000801011,0.000801011
14,71.1479,1.03706,1.78491,1.0911,1.04912,0,0.75082,0.53163,0.60556,0.39034,0.71608,0.53321,0.58583,0.3118,1.28158,2.16761,1.28917,1.24488,0,0.000792012,0.000792012,0.000792012
15,75.3205,1.01795,1.75706,1.05688,1.0325,0,0.78525,0.5216,0.60072,0.38681,0.77143,0.50994,0.58127,0.32402,1.28377,2.29138,1.3157,1.22144,0,0.000783013,0.000783013,0.000783013
16,79.489,1.03822,1.78174,1.06787,1.04343,0,0.58032,0.50113,0.52207,0.33924,0.60925,0.48423,0.51695,0.27591,1.31777,2.36118,1.52251,1.27324,0,0.000774013,0.000774013,0.000774013
17,83.5879,1.01995,1.7614,1.03678,1.02933,0,0.65919,0.5165,0.5529,0.37557,0.67857,0.51732,0.55313,0.31884,1.25091,2.24239,1.4029,1.21269,0,0.000765014,0.000765014,0.000765014
18,87.7308,1.01684,1.71582,1.01176,1.02336,0,0.7181,0.50544,0.58326,0.39067,0.73138,0.51025,0.57257,0.31719,1.27453,2.15235,1.34264,1.22201,0,0.000756015,0.000756015,0.000756015
19,91.8358,0.99101,1.67875,0.97986,1.02071,0,0.67128,0.51585,0.56715,0.38343,0.74883,0.4824,0.56523,0.31423,1.25449,2.04375,1.30682,1.20745,0,0.000747016,0.000747016,0.000747016
